dist,team,displayName,jerseyNumber,position,play_index
2.391,home,Yours Truly,6,P,127
2.391,home,Yours Truly,79,OG,127
2.391,home,Yours Truly,13,WR,127
2.391,home,Yours Truly,89,TE,127
2.391,home,Yours Truly,23,RB,127
2.391,home,Yours Truly,16,WR,127
2.391,home,Yours Truly,45,FB,127
2.391,home,Yours Truly,17,WR,127
0.0,home,Yours Truly,86,TE,127
0.0,home,Yours Truly,19,P,127
0.0,home,Yours Truly,29,RB,127
0.0,home,Yours Truly,16,RB,127
0.0,home,Yours Truly,11,WR,127
0.0,home,Yours Truly,69,G,127
0.0,home,Yours Truly,13,WR,127
0.0,home,Yours Truly,87,WR,127
0.0,away,Yours Truly,19,WR,127
0.0,away,Yours Truly,34,RB,127
0.0,away,Yours Truly,83,WR,127
0.0,away,Yours Truly,81,WR,127
0.0,away,Yours Truly,46,TE,127
0.0,away,Yours Truly,6,P,127
0.0,away,Yours Truly,60,C,127
0.0,away,Yours Truly,36,RB,127
0.0,away,Yours Truly,65,C,127
0.0,away,Yours Truly,39,RB,127
0.0,away,Yours Truly,15,WR,127
12.4255555556,home,Yours Truly,6,P,82
12.4255555556,home,Yours Truly,79,OG,82
12.4255555556,home,Yours Truly,13,WR,82
12.4255555556,home,Yours Truly,89,TE,82
12.4255555556,home,Yours Truly,23,RB,82
12.4255555556,home,Yours Truly,16,WR,82
12.4255555556,home,Yours Truly,45,FB,82
7.3944444444,home,Yours Truly,80,TE,82
11.7533333333,home,Yours Truly,19,P,82
11.7533333333,home,Yours Truly,29,RB,82
11.7533333333,home,Yours Truly,16,RB,82
11.7533333333,home,Yours Truly,11,WR,82
11.7533333333,home,Yours Truly,69,G,82
11.7533333333,home,Yours Truly,13,WR,82
11.7533333333,home,Yours Truly,87,WR,82
0.3933333333,home,Yours Truly,80,TE,82
13.1744444444,away,Yours Truly,19,WR,82
13.1744444444,away,Yours Truly,34,RB,82
13.1744444444,away,Yours Truly,81,WR,82
13.1744444444,away,Yours Truly,6,P,82
13.1744444444,away,Yours Truly,60,C,82
13.1744444444,away,Yours Truly,36,RB,82
13.1744444444,away,Yours Truly,65,C,82
13.1744444444,away,Yours Truly,39,RB,82
13.1744444444,away,Yours Truly,15,WR,82
0.0155555556,away,Yours Truly,18,WR,82
3.6455555556,away,Yours Truly,89,TE,82
23.3711111111,home,Yours Truly,6,P,47
23.3711111111,home,Yours Truly,79,OG,47
23.3711111111,home,Yours Truly,89,TE,47
23.3711111111,home,Yours Truly,23,RB,47
23.3711111111,home,Yours Truly,16,WR,47
23.3711111111,home,Yours Truly,45,FB,47
5.4711111111,home,Yours Truly,17,WR,47
4.5811111111,home,Yours Truly,88,TE,47
38.0588888889,home,Yours Truly,19,P,47
38.0588888889,home,Yours Truly,29,RB,47
38.0588888889,home,Yours Truly,16,RB,47
38.0588888889,home,Yours Truly,11,WR,47
38.0588888889,home,Yours Truly,69,G,47
38.0588888889,home,Yours Truly,13,WR,47
38.0588888889,home,Yours Truly,87,WR,47
26.6988888889,home,Yours Truly,80,TE,47
30.3625,away,Yours Truly,19,WR,47
30.3625,away,Yours Truly,34,RB,47
19.3925,away,Yours Truly,83,WR,47
30.3625,away,Yours Truly,81,WR,47
9.3025,away,Yours Truly,46,TE,47
30.3625,away,Yours Truly,6,P,47
30.3625,away,Yours Truly,60,C,47
30.3625,away,Yours Truly,36,RB,47
30.3625,away,Yours Truly,65,C,47
30.3625,away,Yours Truly,39,RB,47
13.5425,away,Yours Truly,89,TE,47
36.885,home,Yours Truly,6,P,140
36.885,home,Yours Truly,79,OG,140
4.525,home,Yours Truly,13,WR,140
36.885,home,Yours Truly,89,TE,140
36.885,home,Yours Truly,23,RB,140
36.885,home,Yours Truly,16,WR,140
36.885,home,Yours Truly,45,FB,140
18.985,home,Yours Truly,17,WR,140
27.46,home,Yours Truly,14,WR,140
27.46,home,Yours Truly,49,FB,140
27.46,home,Yours Truly,65,OG,140
27.46,home,Yours Truly,46,TE,140
27.46,home,Yours Truly,10,WR,140
27.46,home,Yours Truly,5,P,140
