dist,team,displayName,jerseyNumber,position,play_index
2.391,home,Yours Truly,83,WR,127
2.391,home,Yours Truly,88,TE,127
2.391,home,Yours Truly,80,TE,127
2.391,home,Yours Truly,82,TE,127
2.391,home,Yours Truly,76,OG,127
2.391,home,Yours Truly,70,G,127
2.391,home,Yours Truly,26,RB,127
2.391,home,Yours Truly,69,C,127
2.391,home,Yours Truly,8,QB,127
2.391,home,Yours Truly,60,G,127
0.0,home,Yours Truly,68,G,127
0.0,home,Yours Truly,61,C,127
0.0,home,Yours Truly,80,TE,127
0.0,home,Yours Truly,89,TE,127
0.0,home,Yours Truly,5,QB,127
0.0,home,Yours Truly,15,WR,127
0.0,home,Yours Truly,88,WR,127
0.0,home,Yours Truly,60,OG,127
0.0,home,Yours Truly,24,RB,127
0.0,away,Yours Truly,18,WR,127
0.0,away,Yours Truly,89,TE,127
0.0,away,Yours Truly,71,OG,127
0.0,away,Yours Truly,88,TE,127
0.0,away,Yours Truly,61,C,127
0.0,away,Yours Truly,17,QB,127
0.0,away,Yours Truly,11,WR,127
0.0,away,Yours Truly,27,RB,127
0.0,away,Yours Truly,69,OG,127
9.5844444444,home,Yours Truly,83,WR,82
1.2044444444,home,Yours Truly,88,TE,82
3.6344444444,home,Yours Truly,82,TE,82
4.5555555556,home,Yours Truly,76,OG,82
6.0055555556,home,Yours Truly,70,G,82
4.5244444444,home,Yours Truly,26,RB,82
6.2355555556,home,Yours Truly,69,C,82
6.0855555556,home,Yours Truly,8,QB,82
5.9655555556,home,Yours Truly,60,G,82
12.4255555556,home,Yours Truly,17,WR,82
0.2933333333,home,Yours Truly,68,G,82
1.7433333333,home,Yours Truly,61,C,82
3.2033333333,home,Yours Truly,89,TE,82
5.4566666667,home,Yours Truly,5,QB,82
12.7566666667,home,Yours Truly,15,WR,82
2.9566666667,home,Yours Truly,88,WR,82
2.1233333333,home,Yours Truly,60,OG,82
1.9066666667,home,Yours Truly,24,RB,82
11.7533333333,home,Yours Truly,86,TE,82
4.5344444444,away,Yours Truly,71,OG,82
0.1044444444,away,Yours Truly,88,TE,82
3.5144444444,away,Yours Truly,61,C,82
4.8244444444,away,Yours Truly,17,QB,82
7.5855555556,away,Yours Truly,11,WR,82
15.2055555556,away,Yours Truly,27,RB,82
5.5644444444,away,Yours Truly,69,OG,82
13.1744444444,away,Yours Truly,83,WR,82
13.1744444444,away,Yours Truly,46,TE,82
8.8688888889,home,Yours Truly,83,WR,47
3.5511111111,home,Yours Truly,80,TE,47
4.3088888889,home,Yours Truly,82,TE,47
5.9011111111,home,Yours Truly,76,OG,47
9.4111111111,home,Yours Truly,70,G,47
5.5388888889,home,Yours Truly,26,RB,47
9.2111111111,home,Yours Truly,69,C,47
0.0511111111,home,Yours Truly,8,QB,47
5.5511111111,home,Yours Truly,60,G,47
23.3711111111,home,Yours Truly,13,WR,47
7.0288888889,home,Yours Truly,68,G,47
12.7088888889,home,Yours Truly,61,C,47
1.1911111111,home,Yours Truly,89,TE,47
18.3011111111,home,Yours Truly,5,QB,47
18.4411111111,home,Yours Truly,15,WR,47
10.0011111111,home,Yours Truly,88,WR,47
2.5088888889,home,Yours Truly,60,OG,47
0.0688888889,home,Yours Truly,24,RB,47
9.2511111111,home,Yours Truly,86,TE,47
17.1725,away,Yours Truly,18,WR,47
3.9025,away,Yours Truly,71,OG,47
7.8775,away,Yours Truly,88,TE,47
5.0225,away,Yours Truly,61,C,47
2.2225,away,Yours Truly,17,QB,47
11.2275,away,Yours Truly,11,WR,47
18.6175,away,Yours Truly,27,RB,47
4.4025,away,Yours Truly,69,OG,47
30.3625,away,Yours Truly,15,WR,47
25.975,home,Yours Truly,83,WR,140
18.095,home,Yours Truly,88,TE,140
7.105,home,Yours Truly,80,TE,140
18.925,home,Yours Truly,82,TE,140
5.445,home,Yours Truly,76,OG,140
12.795,home,Yours Truly,70,G,140
10.175,home,Yours Truly,26,RB,140
12.275,home,Yours Truly,69,C,140
6.995,home,Yours Truly,8,QB,140
4.135,home,Yours Truly,60,G,140
15.19,home,Yours Truly,67,C,140
8.42,home,Yours Truly,2,QB,140
0.74,home,Yours Truly,82,WR,140
0.72,home,Yours Truly,81,WR,140
13.88,home,Yours Truly,61,G,140
3.29,home,Yours Truly,89,TE,140
27.46,home,Yours Truly,11,WR,140
27.46,home,Yours Truly,30,RB,140
26.1555555556,home,Yours Truly,83,WR,30
4.4555555556,home,Yours Truly,80,TE,30
11.9355555556,home,Yours Truly,82,TE,30
10.5544444444,home,Yours Truly,76,OG,30
17.4144444444,home,Yours Truly,70,G,30
10.1855555556,home,Yours Truly,26,RB,30
14.6344444444,home,Yours Truly,69,C,30
3.6644444444,home,Yours Truly,8,QB,30
4.9644444444,home,Yours Truly,60,G,30
8.7744444444,home,Yours Truly,13,WR,30
0.0,away,Yours Truly,8,QB,30
0.0,away,Yours Truly,81,WR,30
0.0,away,Yours Truly,23,RB,30
0.0,away,Yours Truly,80,TE,30
0.0,away,Yours Truly,13,WR,30
0.0,away,Yours Truly,83,TE,30
0.0,away,Yours Truly,69,G,30
0.0,away,Yours Truly,75,OG,30
0.0,away,Yours Truly,72,C,30
43.28375,home,Yours Truly,83,WR,133
10.49375,home,Yours Truly,80,TE,133
17.84375,home,Yours Truly,82,TE,133
6.62625,home,Yours Truly,76,OG,133
11.95625,home,Yours Truly,70,G,133
10.68625,home,Yours Truly,69,C,133
3.58625,home,Yours Truly,8,QB,133
